initial_alias,converted_alias,name,description,namespace
ENSG00000153246,ENSG00000153246,PLA2R1,phospholipase A2 receptor 1 [Source:HGNC Symbol;Acc:HGNC:9042],"ARRAYEXPRESS,ENSG"
ENSG00000229807,ENSG00000229807,XIST,X inactive specific transcript [Source:HGNC Symbol;Acc:HGNC:12810],"ARRAYEXPRESS,ENSG"
