initial_alias,converted_alias,name,description,namespace
ENSG00000107331,ENSG00000107331,ABCA2,ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32],"ARRAYEXPRESS,ENSG"
ENSG00000178814,ENSG00000178814,OPLAH,"5-oxoprolinase, ATP-hydrolysing [Source:HGNC Symbol;Acc:HGNC:8149]","ARRAYEXPRESS,ENSG"
ENSG00000198435,ENSG00000198435,NRARP,NOTCH regulated ankyrin repeat protein [Source:HGNC Symbol;Acc:HGNC:33843],"ARRAYEXPRESS,ENSG"
ENSG00000160271,ENSG00000160271,RALGDS,ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:HGNC:9842],"ARRAYEXPRESS,ENSG"
ENSG00000106615,ENSG00000106615,RHEB,"Ras homolog, mTORC1 binding [Source:HGNC Symbol;Acc:HGNC:10011]","ARRAYEXPRESS,ENSG"
ENSG00000104324,ENSG00000104324,CPQ,carboxypeptidase Q [Source:HGNC Symbol;Acc:HGNC:16910],"ARRAYEXPRESS,ENSG"
ENSG00000148690,ENSG00000148690,FRA10AC1,FRA10A associated CGG repeat 1 [Source:HGNC Symbol;Acc:HGNC:1162],"ARRAYEXPRESS,ENSG"
ENSG00000186866,ENSG00000186866,POFUT2,protein O-fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14683],"ARRAYEXPRESS,ENSG"
ENSG00000177951,ENSG00000177951,BET1L,Bet1 golgi vesicular membrane trafficking protein like [Source:HGNC Symbol;Acc:HGNC:19348],"ARRAYEXPRESS,ENSG"
