initial_alias,converted_alias,name,description,namespace
ENSG00000144550,ENSG00000144550,CPNE9,copine family member 9 [Source:HGNC Symbol;Acc:HGNC:24336],"ARRAYEXPRESS,ENSG"
ENSG00000131473,ENSG00000131473,ACLY,ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115],"ARRAYEXPRESS,ENSG"
ENSG00000175115,ENSG00000175115,PACS1,phosphofurin acidic cluster sorting protein 1 [Source:HGNC Symbol;Acc:HGNC:30032],"ARRAYEXPRESS,ENSG"
ENSG00000189091,ENSG00000189091,SF3B3,splicing factor 3b subunit 3 [Source:HGNC Symbol;Acc:HGNC:10770],"ARRAYEXPRESS,ENSG"
