"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"474",949164,"EW-18","bone","ewings_sarcoma",-1.08057397,1
"475",949165,"EW-16","bone","ewings_sarcoma",-1.30710357,1
"476",949166,"EW-13","bone","ewings_sarcoma",0.67382014,1
"477",949167,"EW-22","bone","ewings_sarcoma",-1.7311517,1
"478",949168,"EW-24","bone","ewings_sarcoma",-0.94559425,1
"479",949170,"LAN-6","neuroblastoma","neuroblastoma",0.02791029,1
"480",949171,"NB10","neuroblastoma","neuroblastoma",0.13270703,1
"481",949172,"NB12","neuroblastoma","neuroblastoma",1.67210964,1
"482",949173,"NB6","neuroblastoma","neuroblastoma",1.6661121,1
"483",949175,"NB17","neuroblastoma","neuroblastoma",1.38549157,1
"484",949176,"NB5","neuroblastoma","neuroblastoma",0.70475,1
"485",949177,"NB13","neuroblastoma","neuroblastoma",-0.1891338,1
"486",949178,"NB14","neuroblastoma","neuroblastoma",-2.86507128,0
"487",949179,"NB1","neuroblastoma","neuroblastoma",-1.27117391,1
"488",971773,"RH-1","soft_tissue","rhabdomyosarcoma",-1.70557445,1
"489",971774,"RH-18","soft_tissue","rhabdomyosarcoma",1.01259816,1
"490",971777,"MZ2-MEL","skin","melanoma",1.20790588,1
"491",998189,"LS-180","large_intestine","large_intestine",0.32013256,1
"492",1240121,"BICR22","aero_dig_tract","head and neck",0.13956105,1
"493",1240122,"BICR78","aero_dig_tract","head and neck",0.6539324,1
"494",1240123,"CCK-81","large_intestine","large_intestine",-0.68520518,1
"495",1240124,"CL-40","large_intestine","large_intestine",1.79350143,1
"496",1240125,"COLO-783","skin","melanoma",-1.12803289,1
"497",1240127,"EN","urogenital_system","endometrium",0.0455919,1
"498",1240128,"ES-2","urogenital_system","ovary",-1.43035817,1
"499",1240129,"FU-OV-1","urogenital_system","ovary",0.52804315,1
"500",1240130,"G-MEL","skin","melanoma",0.25042656,1
"501",1240132,"H2595","lung","mesothelioma",1.79863178,1
"502",1240134,"H2731","lung","mesothelioma",1.34395767,1
"503",1240138,"H2869","lung","mesothelioma",1.66660535,1
"504",1240139,"H290","lung","mesothelioma",0.40911674,1
"505",1240140,"H3118","aero_dig_tract","head and neck",-4.05523538,0
"506",1240141,"H513","lung","mesothelioma",-1.42359036,1
"507",1240142,"HARA","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",-1.96593987,1
"508",1240143,"HCC-15","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",1.18374307,1
"509",1240144,"HCC-366","lung_NSCLC","lung_NSCLC_not specified",-0.34675861,1
"510",1240145,"HCC-44","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.3448161,1
"511",1240146,"HCC-827","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.56180099,1
"512",1240147,"Hep 3B2_1-7","digestive_system","liver",0.82470515,1
"513",1240149,"Hs633T","soft_tissue","fibrosarcoma",-0.04195612,1
"514",1240150,"Hs683","nervous_system","glioma",0.93840557,1
"515",1240151,"Hs746T","digestive_system","stomach",0.60498739,1
"516",1240153,"IGR-37","skin","melanoma",0.65529068,1
"517",1240154,"IHH-4","thyroid","thyroid",-0.46398907,1
"518",1240157,"JHH-2","digestive_system","liver",-1.45464893,1
"519",1240158,"JHH-4","digestive_system","liver",0.77242791,1
"520",1240159,"JHH-6","digestive_system","liver",0.15973374,1
"521",1240160,"JHH-7","digestive_system","liver",0.81219999,1
"522",1240161,"JHU-011","aero_dig_tract","head and neck",-4.31155108,0
"523",1240162,"JHU-022","aero_dig_tract","head and neck",0.15818484,1
"524",1240166,"KYM-1","soft_tissue","rhabdomyosarcoma",-0.45329867,1
"525",1240167,"KYSE-220","aero_dig_tract","oesophagus",-0.70808468,1
"526",1240168,"LN-18","nervous_system","glioma",-1.70624484,1
"527",1240169,"LN-229","nervous_system","glioma",0.10943682,1
"528",1240170,"LNZTA3WT4","nervous_system","glioma",-1.19698552,1
"529",1240172,"MDA-MB-436","breast","breast",0.65913219,1
"530",1240173,"MDST8","large_intestine","large_intestine",-2.48050194,0
"531",1240179,"MS751","urogenital_system","cervix",0.80267727,1
"532",1240181,"NB(TU)1-10","neuroblastoma","neuroblastoma",0.09845143,1
"533",1240182,"NCI-H1836","lung_SCLC","lung_small_cell_carcinoma",1.25727305,1
"534",1240183,"NCI-H1869","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",1.35702991,1
"535",1240185,"NCI-H1944","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.12584309,1
"536",1240187,"NCI-H2023","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.47257866,1
"537",1240189,"NCI-H211","lung_SCLC","lung_small_cell_carcinoma",-3.03424662,0
"538",1240190,"NCI-H3122","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.81482532,1
"539",1240191,"NCI-H647","lung_NSCLC","lung_NSCLC_not specified",0.87600528,1
"540",1240192,"NCI-H841","lung_SCLC","lung_small_cell_carcinoma",0.50952003,1
"541",1240193,"NCI-H847","lung_SCLC","lung_small_cell_carcinoma",0.27463035,1
"542",1240196,"OSC-20","aero_dig_tract","head and neck",0.31329539,1
"543",1240197,"OV-90","urogenital_system","ovary",1.6061606,1
"544",1240198,"OVISE","urogenital_system","ovary",-1.8454967,1
"545",1240199,"OVKATE","urogenital_system","ovary",2.64347194,1
"546",1240200,"OVMIU","urogenital_system","ovary",-1.43938129,1
"547",1240201,"PA-TU-8988T","pancreas","pancreas",0.70524235,1
"548",1240202,"PC-3 [JPC-3]","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.26645142,1
"549",1240204,"PCI-15A","aero_dig_tract","head and neck",1.05820212,1
"550",1240206,"PCI-6A","aero_dig_tract","head and neck",-2.23844885,1
"551",1240207,"PE/CA-PJ15","aero_dig_tract","head and neck",1.00413612,1
"552",1240210,"RH-41","soft_tissue","rhabdomyosarcoma",-2.34260647,1
"553",1240212,"SISO","urogenital_system","cervix",-1.09005281,1
"554",1240215,"SKN","urogenital_system","uterus",1.37031823,1
"555",1240216,"SNU-182","digestive_system","liver",0.96537172,1
"556",1240218,"SU8686","pancreas","pancreas",-2.04384204,1
"557",1240219,"SUIT-2","pancreas","pancreas",-2.38202693,1
"558",1240222,"TOV-21G","urogenital_system","ovary",0.98001258,1
"559",1240223,"TT2609-C02","thyroid","thyroid",-1.61404803,1
"560",1240226,"WM278","skin","melanoma",1.28909717,1
