"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"551","SW48","large_intestine",15.284,0,0
"552","SW579","thyroid",16.139,0,1
"553","SW620","large_intestine",14.244,1,0
"554","SW948","large_intestine",18.029,0,1
"555","T24","urinary_tract",15.208,0,0
"556","T47D","breast",17.257,0,1
"557","T84","large_intestine",17.558,0,1
"558","T98G","central_nervous_system",15.243,0,0
"559","TC71","bone",13.662,1,0
"560","TCCPAN2","pancreas",14.66,0,0
"561","TCCSUP","urinary_tract",14.306,1,0
"562","TE1","oesophagus",14.707,0,0
"563","TE10","oesophagus",16.282,0,1
"564","TE11","oesophagus",16.154,0,1
"565","TE14","oesophagus",15.385,0,0
"566","TE15","oesophagus",17.117,0,1
"567","TE4","oesophagus",13.682,1,0
"568","TE441T","soft_tissue",17.3,0,1
"569","TE6","oesophagus",13.165,1,0
"570","TE617T","soft_tissue",15.988,0,0
"571","TE8","oesophagus",13.012,1,0
"572","TE9","oesophagus",15.457,0,0
"573","TM31","central_nervous_system",15.177,0,0
"574","TOV112D","ovary",15.437,0,0
"575","TOV21G","ovary",18.183,0,1
"576","TT2609C02","thyroid",15.538,0,0
"577","TTTHYROID","thyroid",10.736,1,0
"578","TUHR10TKB","kidney",14.11,1,0
"579","TUHR14TKB","kidney",17.666,0,1
"580","TUHR4TKB","kidney",15.997,0,0
"581","TYKNU","ovary",14.782,0,0
"582","U118MG","central_nervous_system",14.447,1,0
"583","U251MG","central_nervous_system",16.231,0,1
"584","U2OS","bone",15.107,0,0
"585","U87MG","central_nervous_system",15.403,0,0
"586","UACC257","skin",16.396,0,1
"587","UACC62","skin",14.961,0,0
"588","UACC812","breast",18.607,0,1
"589","UMUC1","urinary_tract",15,0,0
"590","UMUC3","urinary_tract",14.6,0,0
"591","VCAP","prostate",17.723,0,1
"592","VMCUB1","urinary_tract",14.9,0,0
"593","VMRCLCD","lung",16.15,0,1
"594","VMRCRCW","kidney",14.921,0,0
"595","VMRCRCZ","kidney",14.87,0,0
"596","WM115","skin",15.096,0,0
"597","WM1799","skin",14.944,0,0
"598","WM2664","skin",15,0,0
"599","WM793","skin",14.433,1,0
"600","WM88","skin",16.682,0,1
"601","WM983B","skin",13.991,1,0
"602","YAPC","pancreas",15.258,0,0
"603","YD10B","upper_aerodigestive_tract",15.973,0,0
"604","YD15","salivary_gland",16.318,0,1
"605","YD38","upper_aerodigestive_tract",15.845,0,0
"606","YD8","upper_aerodigestive_tract",13.841,1,0
"607","YH13","central_nervous_system",15.23,0,0
"608","YKG1","central_nervous_system",15.316,0,0
"609","ZR751","breast",15.319,0,0
"610","ZR7530","breast",15.438,0,0
