"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"215","HSC4","upper_aerodigestive_tract",8.985,0,0
"216","HT1080","soft_tissue",4.1803,1,0
"217","HT115","large_intestine",9.0711,0,0
"218","HT1197","urinary_tract",14.266,0,1
"219","HT1376","urinary_tract",12.175,0,1
"220","HT144","skin",10.294,0,0
"221","HT29","large_intestine",9.8072,0,0
"222","HT55","large_intestine",10.04,0,0
"223","HUCCT1","biliary_tract",8.4123,0,0
"224","HUG1N","stomach",3.1515,1,0
"225","HUH1","liver",11.15,0,0
"226","HUH28","biliary_tract",13.557,0,1
"227","HUH6","liver",14.999,0,1
"228","HUPT3","pancreas",10.044,0,0
"229","HUPT4","pancreas",6.0828,0,0
"230","IALM","lung",14.975,0,1
"231","IGR1","skin",7.0404,0,0
"232","IGR37","skin",5.0819,0,0
"233","IGR39","skin",7.9646,0,0
"234","IGROV1","ovary",8.95625,0,0
"236","IM95","stomach",1.4108,1,0
"237","IMR32","autonomic_ganglia",0.9519,1,0
"238","IPC298","skin",12.229,0,1
"239","ISHIKAWAHERAKLIO02ER","endometrium",5.0861,0,0
"240","ISTMES1","pleura",11.509,0,1
"241","J82","urinary_tract",9.4572,0,0
"242","JHH1","liver",7.3192,0,0
"243","JHH2","liver",6.7729,0,0
"244","JHH4","liver",7.8082,0,0
"245","JHH5","liver",6.8196,0,0
"246","JHH6","liver",12.663,0,1
"247","JHOC5","ovary",9.5113,0,0
"248","JHOM1","ovary",7.6411,0,0
"249","JHOS2","ovary",9.5644,0,0
"250","JHUEM1","endometrium",3.6682,1,0
"251","JHUEM3","endometrium",4.87,1,0
"252","JIMT1","breast",7.3833,0,0
"253","JL1","pleura",12.502,0,1
"254","JMSU1","urinary_tract",3.9787,1,0
"255","K029AX","skin",9.4316,0,0
"256","KALS1","central_nervous_system",8.2061,0,0
"257","KATOIII","stomach",11.191,0,1
"258","KE39","stomach",13.154,0,1
"260","KELLY","autonomic_ganglia",5.15,0,0
"261","KG1C","central_nervous_system",12.642,0,1
"262","KLE","endometrium",8.6194,0,0
"263","KM12","large_intestine",5.5779,0,0
"264","KMBC2","urinary_tract",8.2899,0,0
"265","KMRC1","kidney",10.023,0,0
"266","KMRC2","kidney",12.485,0,1
