"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"466","PANC0504","pancreas",10.789,0,0
"467","PANC0813","pancreas",9.0807,0,0
"468","PANC1005","pancreas",9.6954,0,0
"469","PATU8902","pancreas",13.033,0,1
"470","PATU8988S","pancreas",6.9986,1,0
"471","PATU8988T","pancreas",11.422,0,1
"472","PC14","lung",7.6079,0,0
"473","PC3","prostate",10.294,0,0
"474","PECAPJ15","upper_aerodigestive_tract",6.6404,1,0
"475","PECAPJ34CLONEC12","upper_aerodigestive_tract",8.1116,0,0
"476","PECAPJ41CLONED2","upper_aerodigestive_tract",8.2802,0,0
"477","PECAPJ49","upper_aerodigestive_tract",6.9164,1,0
"478","PK1","pancreas",9.7936,0,0
"479","PK45H","pancreas",11.942,0,1
"480","PK59","pancreas",11.5,0,1
"481","PLCPRF5","liver",12.173,0,1
"482","PSN1","pancreas",7.9175,0,0
"483","QGP1","pancreas",11.964,0,1
"484","RCC10RGB","kidney",13.287,0,1
"485","RCM1","large_intestine",10.007,0,0
"486","RD","soft_tissue",9.5201,0,0
"487","RERFLCAD1","lung",12.896,0,1
"488","RERFLCAD2","lung",11.364,0,1
"489","RERFLCAI","lung",7.3045,1,0
"490","RERFLCMS","lung",10.34,0,0
"491","RH18","soft_tissue",10.853,0,0
"492","RH30","soft_tissue",8.8411,0,0
"493","RH41","soft_tissue",8.4584,0,0
"494","RKN","soft_tissue",10.515,0,0
"495","RKO","large_intestine",8.989,0,0
"496","RL952","endometrium",10.973,0,0
"497","RMGI","ovary",11.853,0,1
"498","RPMI7951","skin",7.2403,1,0
"499","RT112","urinary_tract",9.5417,0,0
"500","RT4","urinary_tract",9.4768,0,0
"501","RVH421","skin",9.8258,0,0
"502","SAOS2","bone",5.889,1,0
"503","SBC5","lung",7.6042,0,0
"504","SCABER","urinary_tract",8.9501,0,0
"505","SCC25","upper_aerodigestive_tract",8.8124,0,0
"506","SCC4","upper_aerodigestive_tract",7.9843,0,0
"507","SCC9","upper_aerodigestive_tract",9.4447,0,0
"508","SF126","central_nervous_system",8.682,0,0
"509","SF295","central_nervous_system",9.3954,0,0
"510","SH10TC","stomach",10.371,0,0
"511","SH4","skin",10.458,0,0
"512","SHP77","lung",11.446,0,1
"513","SIMA","autonomic_ganglia",3.3431,1,0
"514","SJSA1","bone",8.9268,0,0
"515","SKBR3","breast",3.9181,1,0
"516","SKCO1","large_intestine",5.7551,1,0
"517","SKES1","bone",2.8391,1,0
"518","SKHEP1","liver",10.828,0,0
"519","SKLMS1","soft_tissue",8.5851,0,0
"520","SKLU1","lung",8.4682,0,0
"521","SKMEL1","skin",9.5471,0,0
"522","SKMEL24","skin",7.1969,1,0
"523","SKMEL28","skin",14.752,0,1
"524","SKMEL3","skin",10.267,0,0
"525","SKMEL30","skin",12.211,0,1
"526","SKMEL31","skin",11.974,0,1
"527","SKMEL5","skin",8.9646,0,0
"528","SKMES1","lung",7.6356,0,0
"529","SKNAS","autonomic_ganglia",8.489,0,0
"530","SKNBE2","autonomic_ganglia",6.2856,1,0
"531","SKNDZ","autonomic_ganglia",8.4016,0,0
"532","SKNFI","autonomic_ganglia",10.819,0,0
"533","SKNMC","bone",3.7317,1,0
"534","SKNSH","autonomic_ganglia",5.3455,1,0
"535","SKOV3","ovary",10.134,0,0
"536","SKUT1","soft_tissue",10.024,0,0
"537","SNGM","endometrium",9.9356,0,0
"538","SNU1","stomach",6.4878,1,0
"539","SNU1033","large_intestine",10.07,0,0
"540","SNU1041","upper_aerodigestive_tract",12.623,0,1
"541","SNU1066","upper_aerodigestive_tract",10.342,0,0
"542","SNU1076","upper_aerodigestive_tract",9.7658,0,0
"543","SNU1077","endometrium",13.705,0,1
"544","SNU1079","biliary_tract",10.026,0,0
"545","SNU1105","central_nervous_system",13.594,0,1
"546","SNU119","ovary",9.3654,0,0
"547","SNU1196","biliary_tract",9.2518,0,0
"548","SNU1214","upper_aerodigestive_tract",10.463,0,0
"549","SNU1272","kidney",12.622,0,1
"550","SNU175","large_intestine",6.6432,1,0
"551","SNU182","liver",8.4546,0,0
"552","SNU201","central_nervous_system",11.626,0,1
"553","SNU213","pancreas",11.822,0,1
"554","SNU216","stomach",10.621,0,0
"555","SNU308","biliary_tract",11.368,0,1
"556","SNU387","liver",11.262,0,0
"557","SNU398","liver",9.1365,0,0
"558","SNU407","large_intestine",9.746,0,0
"559","SNU410","pancreas",10.489,0,0
"560","SNU423","liver",10.939,0,0
"561","SNU449","liver",10.916,0,0
"562","SNU46","upper_aerodigestive_tract",10.638,0,0
"563","SNU466","central_nervous_system",12.153,0,1
"564","SNU478","biliary_tract",7.2472,1,0
"565","SNU5","stomach",8.0201,0,0
"566","SNU503","large_intestine",11.176,0,0
"567","SNU601","stomach",7.4168,1,0
"568","SNU61","large_intestine",10.599,0,0
"569","SNU620","stomach",8.2782,0,0
"570","SNU626","central_nervous_system",7.5698,0,0
"571","SNU668","stomach",11.578,0,1
"572","SNU685","endometrium",7.0458,1,0
"573","SNU719","stomach",9.5216,0,0
"574","SNU761","liver",12.623,0,1
"575","SNU8","ovary",11.48,0,1
"576","SNU81","large_intestine",7.3538,1,0
"577","SNU840","ovary",12.29,0,1
"578","SNU869","biliary_tract",9.4759,0,0
"579","SNU878","liver",8.2337,0,0
"580","SNU886","liver",11.905,0,1
"581","SNU899","upper_aerodigestive_tract",10.335,0,0
"582","SNUC1","large_intestine",8.2172,0,0
"583","SNUC2A","large_intestine",8.7762,0,0
"584","SNUC4","large_intestine",11.527,0,1
"585","SNUC5","large_intestine",8.4454,0,0
"586","SQ1","lung",9.4507,0,0
"587","SU8686","pancreas",8.8843,0,0
"588","SUIT2","pancreas",9.3955,0,0
"590","SW1088","central_nervous_system",10.559,0,0
"591","SW1116","large_intestine",10.78,0,0
"592","SW1271","lung",7.3474,1,0
"593","SW1353","bone",11.377,0,1
"594","SW1417","large_intestine",8.4286,0,0
"595","SW1573","lung",9.4023,0,0
"596","SW1710","urinary_tract",12.649,0,1
"597","SW1783","central_nervous_system",12.557,0,1
"598","SW1990","pancreas",9.1546,0,0
"599","SW48","large_intestine",6.4793,1,0
"600","SW579","thyroid",5.9471,1,0
"601","SW620","large_intestine",9.3756,0,0
"602","SW948","large_intestine",9.0072,0,0
"603","T24","urinary_tract",8.5319,0,0
"604","T3M10","lung",9.6869,0,0
"605","T47D","breast",10.409,0,0
"606","T84","large_intestine",8.6261,0,0
"607","T98G","central_nervous_system",11.843,0,1
"608","TC71","bone",4.9029,1,0
"609","TCCPAN2","pancreas",11.468,0,1
"610","TCCSUP","urinary_tract",10.269,0,0
"611","TE1","oesophagus",11.143,0,0
"612","TE10","oesophagus",10.057,0,0
"613","TE11","oesophagus",7.7568,0,0
"614","TE14","oesophagus",8.7131,0,0
"615","TE15","oesophagus",9.4678,0,0
"616","TE4","oesophagus",6.1089,1,0
"617","TE441T","soft_tissue",5.8182,1,0
"618","TE5","oesophagus",6.2396,1,0
"619","TE6","oesophagus",11.11,0,0
"620","TE617T","soft_tissue",6.1334,1,0
"621","TE8","oesophagus",7.7246,0,0
"622","TE9","oesophagus",9.3585,0,0
"623","TM31","central_nervous_system",10.622,0,0
"624","TOV112D","ovary",6.0902,1,0
"625","TT2609C02","thyroid",7.4405,1,0
"626","TTTHYROID","thyroid",10.613,0,0
"627","TUHR10TKB","kidney",10.738,0,0
"628","TUHR14TKB","kidney",10.023,0,0
"629","TUHR4TKB","kidney",11.259,0,0
"630","TYKNU","ovary",7.4702,1,0
"631","U118MG","central_nervous_system",10.313,0,0
"632","U251MG","central_nervous_system",7.7971,0,0
"633","U2OS","bone",8.4007,0,0
"634","U87MG","central_nervous_system",11.321,0,1
"635","UACC257","skin",9.6923,0,0
"636","UACC62","skin",8.5194,0,0
"637","UBLC1","urinary_tract",7.8667,0,0
"638","UMUC1","urinary_tract",8.2447,0,0
"639","UMUC3","urinary_tract",8.8153,0,0
"640","VCAP","prostate",10.642,0,0
"641","VMCUB1","urinary_tract",9.5999,0,0
"642","VMRCLCD","lung",11.564,0,1
"643","VMRCRCW","kidney",10.119,0,0
"644","VMRCRCZ","kidney",10.87,0,0
"645","WM115","skin",8.7223,0,0
"646","WM1799","skin",10.44,0,0
"647","WM2664","skin",4.9088,1,0
"648","WM793","skin",9.3081,0,0
"649","WM88","skin",9.1214,0,0
"650","WM983B","skin",9.5819,0,0
"651","YAPC","pancreas",9.607,0,0
"652","YD10B","upper_aerodigestive_tract",8.6988,0,0
"653","YD15","salivary_gland",6.5563,1,0
"654","YD38","upper_aerodigestive_tract",9.9901,0,0
"655","YD8","upper_aerodigestive_tract",11.992,0,1
"656","YH13","central_nervous_system",10.239,0,0
"657","YKG1","central_nervous_system",12.683,0,1
"658","ZR751","breast",10.116,0,0
"659","ZR7530","breast",14.268,0,1
