"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"186","NCIH2085","lung",15,0,0
"187","NCIH2087","lung",14.593,0,0
"188","NCIH2106","lung",15.754,0,1
"189","NCIH211","lung",14.735,0,0
"190","NCIH2122","lung",14.77,0,0
"191","NCIH2126","lung",15.311,0,0
"192","NCIH2172","lung",14.692,0,0
"193","NCIH2228","lung",13.989,1,0
"194","NCIH226","lung",12.864,1,0
"195","NCIH2286","lung",14.677,0,0
"196","NCIH2291","lung",14.352,1,0
"197","NCIH2405","lung",14.118,1,0
"198","NCIH2444","lung",13.772,1,0
"199","NCIH2452","pleura",12.862,1,0
"200","NCIH28","pleura",16.117,0,1
"201","NCIH358","lung",15.451,0,1
"202","NCIH441","lung",15.125,0,0
"203","NCIH446","lung",15.072,0,0
"204","NCIH460","lung",14.551,0,0
"206","NCIH508","large_intestine",14.261,1,0
"207","NCIH520","lung",14.759,0,0
"208","NCIH526","lung",14.632,0,0
"209","NCIH650","lung",15.674,0,1
"210","NCIH661","lung",13.797,1,0
"211","NCIH69","lung",14.85,0,0
"212","NCIH727","lung",15.462,0,1
"213","NCIH889","lung",14.484,0,0
"214","NCIN87","stomach",13.922,1,0
"215","NMCG1","central_nervous_system",16.869,0,1
"216","NUGC3","stomach",15.694,0,1
"217","NUGC4","stomach",14.463,1,0
"218","OAW28","ovary",15.235,0,0
"219","OCUM1","stomach",13.229,1,0
"220","ONCODG1","ovary",16.078,0,1
"221","ONS76","central_nervous_system",15,0,0
"222","OSRC2","kidney",15.045,0,0
"223","OUMS23","large_intestine",13.147,1,0
"224","OVCAR4","ovary",13.746,1,0
"225","OVCAR8","ovary",14.828,0,0
"226","OVISE","ovary",14.615,0,0
"227","OVK18","ovary",15.415,0,1
"228","OVSAHO","ovary",14.615,0,0
"229","OVTOKO","ovary",15.644,0,1
"230","PANC0504","pancreas",15.014,0,0
"231","PATU8902","pancreas",14.584,0,0
"232","PC14","lung",11.983,1,0
"233","PK59","pancreas",14.623,0,0
"234","QGP1","pancreas",15.545,0,1
"235","RERFLCAD1","lung",14.638,0,0
"236","RERFLCAI","lung",14.633,0,0
"237","RH18","soft_tissue",14.195,1,0
"238","RH30","soft_tissue",14.382,1,0
"239","RH41","soft_tissue",16.108,0,1
"240","RKN","soft_tissue",15.219,0,0
"241","RKO","large_intestine",14.185,1,0
"242","RL952","endometrium",15.373,0,1
"243","RMGI","ovary",15.1,0,0
"244","RPMI7951","skin",15,0,0
"245","RT112","urinary_tract",15.157,0,0
"246","RT4","urinary_tract",15.063,0,0
"247","SBC5","lung",14.687,0,0
"248","SCC25","upper_aerodigestive_tract",13.912,1,0
"249","SF126","central_nervous_system",14.502,0,0
"250","SF295","central_nervous_system",14.403,1,0
"251","SHP77","lung",16.097,0,1
"252","SJSA1","bone",12.043,1,0
"253","SKCO1","large_intestine",15.234,0,0
"254","SKLU1","lung",14.16,1,0
"255","SKMEL1","skin",15.723,0,1
"256","SKMEL28","skin",8.1927,1,0
"257","SKMEL30","skin",14.87,0,0
"258","SKMEL31","skin",13.878,1,0
"259","SKMEL5","skin",15.455,0,1
"260","SKOV3","ovary",14.882,0,0
"261","SNGM","endometrium",14.54,0,0
"262","SNU1041","upper_aerodigestive_tract",14.576,0,0
"263","SNU1066","upper_aerodigestive_tract",12.563,1,0
"264","SNU1076","upper_aerodigestive_tract",15.499,0,1
"265","SNU1077","endometrium",15.539,0,1
"266","SNU1079","biliary_tract",14.824,0,0
"267","SNU1105","central_nervous_system",15.334,0,0
"268","SNU119","ovary",14.833,0,0
"269","SNU1196","biliary_tract",15.567,0,1
"270","SNU1214","upper_aerodigestive_tract",14.762,0,0
"271","SNU1272","kidney",14.642,0,0
"272","SNU175","large_intestine",15,0,0
"273","SNU182","liver",14.956,0,0
"274","SNU201","central_nervous_system",17.141,0,1
"275","SNU213","pancreas",13.136,1,0
"276","SNU308","biliary_tract",15.195,0,0
"277","SNU398","liver",14.42,1,0
"278","SNU407","large_intestine",14.932,0,0
"279","SNU410","pancreas",14.51,0,0
"280","SNU46","upper_aerodigestive_tract",15.995,0,1
"281","SNU466","central_nervous_system",14.9,0,0
"282","SNU478","biliary_tract",14.295,1,0
"283","SNU489","central_nervous_system",15.183,0,0
