"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"250","JHUEM2","endometrium",14.489,0,0
"251","JHUEM3","endometrium",14.911,0,0
"252","JIMT1","breast",14.366,0,0
"253","JL1","pleura",14.519,0,0
"254","JMSU1","urinary_tract",11.235,1,0
"255","K029AX","skin",13.966,0,0
"256","KALS1","central_nervous_system",14.103,0,0
"257","KATOIII","stomach",14.764,0,0
"258","KE39","stomach",14.3675,0,0
"260","KELLY","autonomic_ganglia",13.036,1,0
"261","KG1C","central_nervous_system",12.888,1,0
"262","KLE","endometrium",14.747,0,0
"263","KM12","large_intestine",15.738,0,1
"264","KMBC2","urinary_tract",14.976,0,0
"265","KMRC1","kidney",14.579,0,0
"266","KMRC2","kidney",15.221,0,1
"267","KMRC20","kidney",14.919,0,0
"268","KNS42","central_nervous_system",15.06,0,1
"269","KNS60","central_nervous_system",14.792,0,0
"270","KNS62","lung",15.357,0,1
"271","KNS81","central_nervous_system",15.477,0,1
"272","KP2","pancreas",14.77,0,0
"273","KP3","pancreas",14.784,0,0
"274","KP4","pancreas",14.74,0,0
"275","KPL1","breast",15,0,0
"276","KPNSI9S","autonomic_ganglia",11.57,1,0
"277","KU1919","urinary_tract",15.939,0,1
"278","KURAMOCHI","ovary",14.918,0,0
"279","KYM1","soft_tissue",14.301,0,0
"280","KYSE140","oesophagus",13.366,1,0
"281","KYSE150","oesophagus",15.595,0,1
"282","KYSE180","oesophagus",15.168,0,1
"283","KYSE30","oesophagus",14.918,0,0
"284","KYSE410","oesophagus",14.285,0,0
"285","KYSE450","oesophagus",14.795,0,0
"286","KYSE510","oesophagus",14.712,0,0
"287","KYSE520","oesophagus",13.911,0,0
"288","KYSE70","oesophagus",14.488,0,0
"289","L33","pancreas",14.432,0,0
"290","LC1SQSF","lung",14.579,0,0
"291","LCLC103H","lung",15.253,0,1
"292","LCLC97TM1","lung",14.318,0,0
"293","LI7","liver",15.454,0,1
"294","LK2","lung",13.945,0,0
"295","LMSU","stomach",14.646,0,0
"296","LN18","central_nervous_system",15,0,0
"297","LN229","central_nervous_system",13.674,1,0
"298","LNCAPCLONEFGC","prostate",14.336,0,0
"299","LOUNH91","lung",15.618,0,1
"300","LOVO","large_intestine",15,0,0
"301","LOXIMVI","skin",11.485,1,0
"303","LS1034","large_intestine",14.561,0,0
"304","LS123","large_intestine",17.486,0,1
"305","LS180","large_intestine",13.745,0,0
"306","LS411N","large_intestine",15.548,0,1
"307","LS513","large_intestine",13.373,1,0
"308","LU65","lung",13.736,0,0
"309","LU99","lung",14.493,0,0
"310","LUDLU1","lung",14.176,0,0
"311","LXF289","lung",14.572,0,0
"312","M059K","central_nervous_system",15.087,0,1
"313","MCAS","ovary",14.528,0,0
"314","MCF7","breast",14.82,0,0
"315","MDAMB157","breast",18.224,0,1
"316","MDAMB231","breast",14.486,0,0
"317","MDAMB361","breast",14.893,0,0
"318","MDAMB415","breast",15.58,0,1
"319","MDAMB435S","skin",14.186,0,0
"320","MDAMB453","breast",13.193,1,0
"321","MDAMB468","breast",13.37,1,0
"322","MDST8","large_intestine",15.983,0,1
"323","MELHO","skin",13.916,0,0
"324","MELJUSO","skin",14.303,0,0
"325","MEWO","skin",14.245,0,0
"326","MFE296","endometrium",15.199,0,1
"327","MFE319","endometrium",14.847,0,0
"328","MG63","bone",13.897,0,0
"329","MHHES1","bone",12.964,1,0
"330","MHHNB11","autonomic_ganglia",10.454,1,0
"331","MIAPACA2","pancreas",15.207,0,1
"332","MKN1","stomach",16.47,0,1
"333","MKN45","stomach",15,0,0
"334","MKN7","stomach",14.382,0,0
"335","MKN74","stomach",14.9655,0,0
"337","ML1","thyroid",13.918,0,0
"338","MORCPR","lung",15.181,0,1
"339","MPP89","pleura",15.406,0,1
"340","MSTO211H","pleura",15.443,0,1
"341","NB1","autonomic_ganglia",14.686,0,0
"342","NCIH1092","lung",16.872,0,1
"343","NCIH1105","lung",14.256,0,0
"344","NCIH1155","lung",14.446,0,0
"345","NCIH1184","lung",13.781,0,0
"346","NCIH1299","lung",14.5805,0,0
"348","NCIH1339","lung",14.713,0,0
"349","NCIH1341","lung",12.995,1,0
"350","NCIH1355","lung",14.085,0,0
"351","NCIH1373","lung",14.378,0,0
"352","NCIH1395","lung",14.312,0,0
"353","NCIH1435","lung",15.639,0,1
"354","NCIH146","lung",13.303,1,0
"355","NCIH1563","lung",16.216,0,1
"356","NCIH1568","lung",14.586,0,0
"357","NCIH1573","lung",14.573,0,0
"358","NCIH1581","lung",14.668,0,0
"359","NCIH1623","lung",13.685,1,0
"360","NCIH1650","lung",15.594,0,1
"361","NCIH1651","lung",11.105,1,0
"362","NCIH1666","lung",13.761,0,0
"363","NCIH1693","lung",14.873,0,0
"364","NCIH1694","lung",14.481,0,0
"365","NCIH1703","lung",14.778,0,0
"366","NCIH1734","lung",14.958,0,0
"367","NCIH1755","lung",15,0,0
"368","NCIH1792","lung",14.217,0,0
"369","NCIH1793","lung",16.121,0,1
"370","NCIH1838","lung",15.528,0,1
"371","NCIH1869","lung",14.1125,0,0
"373","NCIH1915","lung",13.574,1,0
"374","NCIH1944","lung",14.014,0,0
"375","NCIH196","lung",15.386,0,1
"376","NCIH2009","lung",14.208,0,0
"377","NCIH2023","lung",14.701,0,0
"378","NCIH2029","lung",15.663,0,1
"379","NCIH2030","lung",15.412,0,1
"380","NCIH2052","pleura",11.319,1,0
"381","NCIH2081","lung",14.683,0,0
"382","NCIH2085","lung",15.215,0,1
"383","NCIH2087","lung",12.931,1,0
"384","NCIH2106","lung",14.373,0,0
"385","NCIH211","lung",13.645,1,0
"386","NCIH2110","lung",14.404,0,0
"387","NCIH2122","lung",15.049,0,1
"388","NCIH2126","lung",15,0,0
"389","NCIH2141","lung",13.682,1,0
"390","NCIH2170","lung",13.824,0,0
"391","NCIH2171","lung",15.93,0,1
"392","NCIH2172","lung",15.198,0,1
"393","NCIH2196","lung",15,0,0
"394","NCIH2228","lung",13.156,1,0
"395","NCIH226","lung",14.961,0,0
"396","NCIH2286","lung",16.446,0,1
"397","NCIH2291","lung",14.077,0,0
"398","NCIH23","lung",14.106,0,0
"399","NCIH2342","lung",13.846,0,0
"400","NCIH2405","lung",12.681,1,0
"401","NCIH2444","lung",15,0,0
"402","NCIH2452","pleura",13.958,0,0
