"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"755",1509074,"NCC021","kidney","kidney",1.09557499,1
"756",1524414,"RCC-FG2","kidney","kidney",3.79778548,1
"757",1524415,"RCC-JF","kidney","kidney",1.78104784,1
"758",1524416,"RCC-JW","kidney","kidney",-0.57418979,1
"759",1524417,"RCC-ER","kidney","kidney",2.84856964,1
"760",1524418,"RCC-AB","kidney","kidney",2.29342288,1
"761",1524419,"RCC-MF","kidney","kidney",3.24653045,1
"762",1659823,"SNU-1040","large_intestine","large_intestine",6.82863859,1
"763",1660034,"SNU-407","large_intestine","large_intestine",1.76381268,1
"764",1660035,"SNU-61","large_intestine","large_intestine",6.8512091,1
"765",1660036,"SNU-81","large_intestine","large_intestine",2.48036392,1
"766",1674021,"SNU-C5","large_intestine","large_intestine",2.67001208,1
