"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"440","ONCODG1","ovary",13.902,0,0
"441","ONS76","central_nervous_system",12.951,0,0
"442","OSRC2","kidney",14.467,0,0
"443","OUMS23","large_intestine",16.622,0,1
"444","OV56","ovary",14.227,0,0
"445","OV7","ovary",12.429,1,0
"446","OV90","ovary",15.438,0,1
"447","OVCAR4","ovary",13.32,0,0
"448","OVCAR8","ovary",13.915,0,0
"449","OVISE","ovary",14.962,0,1
"450","OVK18","ovary",12.682,0,0
"451","OVSAHO","ovary",12.688,0,0
"452","OVTOKO","ovary",13.385,0,0
"453","PANC0203","pancreas",14.325,0,0
"454","PANC0327","pancreas",12.581,0,0
"455","PANC0403","pancreas",14.132,0,0
"456","PANC0504","pancreas",14.132,0,0
"457","PANC0813","pancreas",12.577,0,0
"458","PANC1","pancreas",14.618,0,1
"459","PANC1005","pancreas",13.445,0,0
"460","PATU8902","pancreas",14.244,0,0
"461","PATU8988S","pancreas",14.252,0,0
"462","PATU8988T","pancreas",15.744,0,1
"463","PC14","lung",13.372,0,0
"464","PC3","prostate",14.453,0,0
"465","PECAPJ15","upper_aerodigestive_tract",12.549,1,0
"466","PECAPJ34CLONEC12","upper_aerodigestive_tract",10.399,1,0
"467","PECAPJ41CLONED2","upper_aerodigestive_tract",12.918,0,0
"468","PECAPJ49","upper_aerodigestive_tract",11.329,1,0
"469","PK1","pancreas",13.319,0,0
"470","PK45H","pancreas",14.004,0,0
"471","PK59","pancreas",12.899,0,0
"472","PLCPRF5","liver",13.839,0,0
"473","PSN1","pancreas",11.828,1,0
"474","QGP1","pancreas",13.157,0,0
"475","RCC10RGB","kidney",14.424,0,0
"476","RCM1","large_intestine",14.32,0,0
"477","RD","soft_tissue",14.001,0,0
"478","RERFLCAD1","lung",15.491,0,1
"479","RERFLCAD2","lung",13.706,0,0
"480","RERFLCAI","lung",13.707,0,0
"481","RERFLCMS","lung",12.737,0,0
"482","RH18","soft_tissue",15.549,0,1
"483","RH30","soft_tissue",14.305,0,0
"484","RH41","soft_tissue",14.153,0,0
"485","RKN","soft_tissue",14.996,0,1
"486","RKO","large_intestine",13.31,0,0
"487","RL952","endometrium",11.437,1,0
"488","RMGI","ovary",13.713,0,0
"489","RPMI7951","skin",13.283,0,0
"490","RT112","urinary_tract",12.776,0,0
"491","RT4","urinary_tract",12.459,1,0
"492","RVH421","skin",14.687,0,1
"493","SAOS2","bone",14.06,0,0
"494","SBC5","lung",14.343,0,0
"495","SCABER","urinary_tract",12.988,0,0
"496","SCC25","upper_aerodigestive_tract",13.825,0,0
"497","SCC4","upper_aerodigestive_tract",16.716,0,1
"498","SCC9","upper_aerodigestive_tract",12.075,1,0
"499","SF126","central_nervous_system",13.237,0,0
"500","SF295","central_nervous_system",14.46,0,0
"501","SH10TC","stomach",15.712,0,1
"502","SH4","skin",13.627,0,0
"503","SHP77","lung",13.646,0,0
"504","SIMA","autonomic_ganglia",10.943,1,0
"505","SJSA1","bone",13.827,0,0
"506","SKBR3","breast",12.489,1,0
"507","SKCO1","large_intestine",13.015,0,0
"508","SKES1","bone",12.385,1,0
"509","SKHEP1","liver",14.344,0,0
"510","SKLMS1","soft_tissue",14.131,0,0
"511","SKLU1","lung",14.284,0,0
"512","SKMEL1","skin",14.45,0,0
"513","SKMEL24","skin",14.309,0,0
"514","SKMEL28","skin",16.493,0,1
"515","SKMEL3","skin",14.956,0,1
"516","SKMEL30","skin",14.429,0,0
"517","SKMEL31","skin",14.658,0,1
"518","SKMEL5","skin",14.625,0,1
"519","SKMES1","lung",13.187,0,0
"520","SKNAS","autonomic_ganglia",13.421,0,0
"521","SKNBE2","autonomic_ganglia",12.251,1,0
"522","SKNDZ","autonomic_ganglia",14.457,0,0
"523","SKNFI","autonomic_ganglia",12.431,1,0
"524","SKNMC","bone",12.778,0,0
"525","SKNSH","autonomic_ganglia",12.318,1,0
"526","SKOV3","ovary",14.443,0,0
"527","SKUT1","soft_tissue",13.804,0,0
"528","SNGM","endometrium",13.415,0,0
"529","SNU1","stomach",11.912,1,0
"530","SNU1033","large_intestine",11.894,1,0
"531","SNU1041","upper_aerodigestive_tract",14.04,0,0
"532","SNU1066","upper_aerodigestive_tract",16.361,0,1
"533","SNU1076","upper_aerodigestive_tract",12.432,1,0
"534","SNU1077","endometrium",15.251,0,1
