"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"349","NCIH2052","pleura",9.958,0,0
"350","NCIH2081","lung",5.7123,1,0
"351","NCIH2087","lung",5.336,1,0
"352","NCIH2106","lung",13.652,0,1
"353","NCIH211","lung",5.5079,1,0
"354","NCIH2110","lung",5.179,1,0
"355","NCIH2122","lung",10.338,0,0
"356","NCIH2141","lung",7.6775,0,0
"357","NCIH2170","lung",6.5192,1,0
"358","NCIH2171","lung",8.1124,0,0
"359","NCIH2172","lung",14.696,0,1
"360","NCIH2196","lung",10.472,0,0
"361","NCIH2228","lung",8.1334,0,0
"362","NCIH226","lung",11.085,0,0
"363","NCIH2286","lung",11.327,0,0
"364","NCIH2291","lung",12.993,0,0
"365","NCIH23","lung",4.2367,1,0
"366","NCIH2342","lung",12.113,0,0
"367","NCIH2405","lung",7.4726,0,0
"368","NCIH2444","lung",15.862,0,1
"369","NCIH2452","pleura",11.846,0,0
"370","NCIH28","pleura",5.4893,1,0
"371","NCIH322","lung",12.669,0,0
"372","NCIH358","lung",12.16,0,0
"373","NCIH441","lung",12.887,0,0
"374","NCIH446","lung",7.8775,0,0
"375","NCIH460","lung",9.28845,0,0
"377","NCIH508","large_intestine",9.351,0,0
"378","NCIH510","lung",6.4587,1,0
"379","NCIH520","lung",7.50665,0,0
"381","NCIH522","lung",9.9783,0,0
"382","NCIH526","lung",5.3607,1,0
"383","NCIH647","lung",9.7088,0,0
"384","NCIH650","lung",7.0233,1,0
"385","NCIH660","prostate",13.729,0,1
"386","NCIH661","lung",9.6088,0,0
"387","NCIH69","lung",9.1307,0,0
"388","NCIH716","large_intestine",12.517,0,0
"389","NCIH727","lung",11.632,0,0
"390","NCIH747","large_intestine",9.3059,0,0
"391","NCIH810","lung",8.0695,0,0
"392","NCIH838","lung",9.4393,0,0
"393","NCIH841","lung",11.209,0,0
"394","NCIH889","lung",12.11,0,0
"395","NCIN87","stomach",5.3431,1,0
"396","NH6","autonomic_ganglia",13.275,0,1
"397","NMCG1","central_nervous_system",12.112,0,0
"398","NUGC4","stomach",10.46,0,0
"399","OAW28","ovary",12.504,0,0
"400","OAW42","ovary",7.1253,1,0
"401","OC314","ovary",6.5682,1,0
"402","OCUM1","stomach",6.7884,1,0
"403","OE19","oesophagus",14.933,0,1
"404","OE33","oesophagus",8.1301,0,0
"405","ONCODG1","ovary",10.959,0,0
"406","ONS76","central_nervous_system",11.39,0,0
"407","OSRC2","kidney",11.977,0,0
"408","OUMS23","large_intestine",15,0,1
"409","OV56","ovary",6.6631,1,0
"410","OV7","ovary",8.5848,0,0
"411","OV90","ovary",10.801,0,0
"412","OVCAR4","ovary",13.901,0,1
"413","OVCAR8","ovary",7.595,0,0
"414","OVISE","ovary",13.854,0,1
"415","OVSAHO","ovary",13.269,0,1
"416","OVTOKO","ovary",7.6428,0,0
"417","PANC0203","pancreas",12.802,0,0
"418","PANC0327","pancreas",7.0042,1,0
"419","PANC0403","pancreas",11.928,0,0
"420","PANC0813","pancreas",11.175,0,0
"421","PANC1","pancreas",11.076,0,0
"422","PANC1005","pancreas",9.937,0,0
"423","PATU8988S","pancreas",11.68,0,0
"424","PATU8988T","pancreas",14.007,0,1
"425","PC14","lung",11.09,0,0
"426","PC3","prostate",13.078,0,1
"427","PECAPJ15","upper_aerodigestive_tract",7.7325,0,0
"428","PECAPJ34CLONEC12","upper_aerodigestive_tract",8.9099,0,0
"429","PECAPJ41CLONED2","upper_aerodigestive_tract",8.8658,0,0
"430","PECAPJ49","upper_aerodigestive_tract",6.2826,1,0
"431","PK1","pancreas",12.695,0,0
"432","PK45H","pancreas",13.881,0,1
"433","PLCPRF5","liver",11.558,0,0
"434","PSN1","pancreas",8.8118,0,0
"435","QGP1","pancreas",8.5696,0,0
"436","RCC10RGB","kidney",11.069,0,0
"437","RCM1","large_intestine",11.294,0,0
"438","RD","soft_tissue",10.523,0,0
"439","RERFLCAD1","lung",14.195,0,1
"440","RERFLCAD2","lung",13.338,0,1
"441","RERFLCAI","lung",8.5299,0,0
"442","RERFLCMS","lung",8.2553,0,0
"443","RH18","soft_tissue",14.161,0,1
"444","RH30","soft_tissue",3.7806,1,0
"445","RH41","soft_tissue",5.8766,1,0
"446","RKO","large_intestine",9.1093,0,0
"447","RL952","endometrium",10.725,0,0
"448","RPMI7951","skin",6.5822,1,0
"449","RT112","urinary_tract",8.4626,0,0
"450","RVH421","skin",14.682,0,1
"451","SAOS2","bone",8.579,0,0
"452","SBC5","lung",4.7853,1,0
"453","SCABER","urinary_tract",11.566,0,0
"454","SCC25","upper_aerodigestive_tract",10.525,0,0
"455","SCC4","upper_aerodigestive_tract",13.481,0,1
"456","SCC9","upper_aerodigestive_tract",12.703,0,0
"457","SF126","central_nervous_system",8.527,0,0
"458","SF295","central_nervous_system",11.862,0,0
"459","SH10TC","stomach",16.545,0,1
"460","SH4","skin",11.058,0,0
"461","SHP77","lung",11.512,0,0
"462","SIMA","autonomic_ganglia",4.4894,1,0
"463","SJSA1","bone",9.557,0,0
"464","SKBR3","breast",8.4268,0,0
"465","SKCO1","large_intestine",5.2397,1,0
"466","SKES1","bone",3.8203,1,0
"467","SKHEP1","liver",13.625,0,1
"468","SKLMS1","soft_tissue",10.538,0,0
"469","SKMEL1","skin",13.015,0,1
"470","SKMEL2","skin",18.198,0,1
"471","SKMEL24","skin",11.902,0,0
"472","SKMEL3","skin",14.156,0,1
"473","SKMES1","lung",5.253,1,0
"474","SKNAS","autonomic_ganglia",9.4376,0,0
"475","SKNBE2","autonomic_ganglia",10.82,0,0
"476","SKNDZ","autonomic_ganglia",12.523,0,0
"477","SKNFI","autonomic_ganglia",11.162,0,0
"478","SKNMC","bone",3.2645,1,0
"479","SKNSH","autonomic_ganglia",8.3537,0,0
"480","SKUT1","soft_tissue",8.8338,0,0
"481","SNGM","endometrium",9.1335,0,0
"482","SNU1","stomach",5.4163,1,0
"483","SNU1033","large_intestine",11.659,0,0
"484","SNU1041","upper_aerodigestive_tract",13.978,0,1
"485","SNU1066","upper_aerodigestive_tract",13.286,0,1
"486","SNU1076","upper_aerodigestive_tract",6.9473,1,0
"487","SNU1077","endometrium",14.426,0,1
"488","SNU1079","biliary_tract",10.837,0,0
"489","SNU1105","central_nervous_system",14.228,0,1
"490","SNU119","ovary",13.713,0,1
"491","SNU1196","biliary_tract",7.5746,0,0
"492","SNU1214","upper_aerodigestive_tract",10.568,0,0
"493","SNU1272","kidney",14.06,0,1
"494","SNU16","stomach",2.9881,1,0
"495","SNU175","large_intestine",10.848,0,0
"496","SNU201","central_nervous_system",11.631,0,0
"497","SNU213","pancreas",13.546,0,1
"498","SNU216","stomach",13.501,0,1
"499","SNU308","biliary_tract",12.255,0,0
"500","SNU387","liver",13.572,0,1
"501","SNU398","liver",14.755,0,1
"502","SNU410","pancreas",14,0,1
