"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"252",906872,"GI-ME-N","neuroblastoma","neuroblastoma",0.17571525,1
"253",906873,"GMS-10","nervous_system","glioma",0.96342926,1
"254",906875,"GOTO","neuroblastoma","neuroblastoma",-0.43298708,1
"255",906999,"GCT","soft_tissue","soft_tissue_other",1.46640786,1
"256",907000,"ESS-1","urogenital_system","endometrium",-2.49769545,1
"257",907041,"GT3TKB","digestive_system","stomach",-1.3786698,1
"258",907042,"H4","nervous_system","glioma",-3.82652395,0
"259",907045,"HCC1419","breast","breast",1.58652097,1
"260",907046,"HCC1569","breast","breast",-0.37964958,1
"261",907047,"HCC1806","breast","breast",-1.99549143,1
"262",907048,"HCC70","breast","breast",-0.15426736,1
"263",907051,"HEC-1","urogenital_system","endometrium",-0.33883867,1
"264",907055,"HGC-27","digestive_system","stomach",-2.85090635,1
"265",907057,"HLE","digestive_system","liver",-0.47587652,1
"266",907058,"HMV-II","skin","melanoma",-2.0510376,1
"267",907059,"HN","aero_dig_tract","head and neck",-0.20060715,1
"268",907060,"HOS","bone","osteosarcoma",-1.69369736,1
"269",907061,"HSC-3","aero_dig_tract","head and neck",-2.40542466,1
"270",907062,"HSC-4","aero_dig_tract","head and neck",-0.77215738,1
"271",907064,"HT-1080","soft_tissue","fibrosarcoma",-1.03979691,1
"272",907065,"HT-1197","urogenital_system","Bladder",0.6579595,1
"273",907066,"HT-1376","urogenital_system","Bladder",-0.13163402,1
"274",907067,"HT-144","skin","melanoma",-2.76171354,1
"275",907068,"HT-3","urogenital_system","cervix",-3.1581468,0
"276",907069,"HuCCT1","digestive_system","biliary_tract",-0.12441634,1
"277",907071,"HuH-7","digestive_system","liver",0.68722858,1
"278",907072,"HuO9","bone","osteosarcoma",0.585459,1
"279",907073,"HUTU-80","digestive_system","digestive_system_other",-3.39208863,0
"280",907169,"IGR-1","skin","melanoma",-1.20809254,1
"281",907170,"IMR-5","neuroblastoma","neuroblastoma",-3.64577711,0
"282",907171,"IPC-298","skin","melanoma",0.31569205,1
"283",907172,"IST-MEL1","skin","melanoma",-3.40317706,0
