"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","most_sensitive","least_sensitive"
"663",1298349,"NCI-H1688","lung_SCLC","lung_small_cell_carcinoma",6.18216015,0,1
"664",1298350,"NCI-H1781","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.92477811,0,0
"665",1298351,"NCI-H2110","lung_NSCLC","lung_NSCLC_not specified",5.53631076,1,0
"666",1298352,"NCI-H2135","lung_NSCLC","lung_NSCLC_not specified",5.97348777,0,0
"667",1298353,"NCI-H2172","lung_NSCLC","lung_NSCLC_not specified",6.84688549,0,1
"668",1298356,"NCI-H2444","lung_NSCLC","lung_NSCLC_not specified",6.57724451,0,1
"669",1298357,"NUGC-4","digestive_system","stomach",5.92045918,0,0
"670",1298358,"OCUM-1","digestive_system","stomach",6.28428126,0,1
"671",1298359,"OE21","aero_dig_tract","oesophagus",5.25312648,1,0
"672",1298362,"OSC-19","aero_dig_tract","head and neck",4.98068376,1,0
"673",1298365,"OVTOKO","urogenital_system","ovary",6.07235652,0,1
"674",1298475,"PANC-02-03","pancreas","pancreas",5.2805759,1,0
"675",1298526,"PA-TU-8902","pancreas","pancreas",6.22428615,0,1
"676",1298529,"PCI-30","aero_dig_tract","head and neck",6.52319109,0,1
"677",1298531,"PCI-4B","aero_dig_tract","head and neck",5.34574249,1,0
"678",1298533,"PL4","pancreas","pancreas",6.05484918,0,1
"679",1298534,"QGP-1","pancreas","pancreas",7.28483106,0,1
"680",1298537,"RERF-LC-KJ","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.69112589,0,0
"681",1298538,"RERF-LC-Sq1","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",5.34935248,1,0
"682",1298539,"RKN","urogenital_system","ovary",6.0062389,0,0
"683",1299050,"SAT","aero_dig_tract","head and neck",5.98343444,0,0
"684",1299052,"SCC90","aero_dig_tract","head and neck",5.93596792,0,0
"685",1299059,"SKN-3","aero_dig_tract","head and neck",4.99815079,1,0
"686",1299061,"STS-0421","soft_tissue","soft_tissue_other",5.65494357,0,0
"687",1299062,"SW1271","lung_SCLC","lung_small_cell_carcinoma",6.25622071,0,1
"688",1299064,"T-T","aero_dig_tract","oesophagus",5.83658128,0,0
"689",1299070,"TOV-112D","urogenital_system","ovary",4.21433277,1,0
"690",1299075,"VCaP","urogenital_system","prostate",6.04570761,0,1
"691",1299078,"WM1552C","skin","melanoma",5.9406142,0,0
"692",1299080,"WM35","skin","melanoma",5.82370715,0,0
"693",1299081,"WM793B","skin","melanoma",5.00359626,1,0
"694",1303900,"HCC1500","breast","breast",5.99391534,0,0
"695",1303912,"CHSA8926","bone","chondrosarcoma",6.5148824,0,1
"696",1322212,"COR-L32","lung_SCLC","lung_small_cell_carcinoma",6.60000664,0,1
"697",1322213,"COR-L321","lung","Lung_other",4.8992878,1,0
"698",1322224,"HSC-39","digestive_system","stomach",5.47419257,1,0
"699",1330941,"MDA-MB-330","breast","breast",6.31713941,0,1
"700",1330964,"NCI-H1341","lung_SCLC","lung_small_cell_carcinoma",5.15992827,1,0
"701",1330972,"NCI-H1876","lung_SCLC","lung_small_cell_carcinoma",4.85274716,1,0
"702",1330973,"NCI-H2066","lung_SCLC","lung_small_cell_carcinoma",7.46515849,0,1
"703",1330993,"PWR-1E","urogenital_system","prostate",5.64459418,0,0
"704",1479987,"DOV13","urogenital_system","ovary",6.07610802,0,1
"705",1479988,"Hey","urogenital_system","ovary",4.86134213,1,0
"706",1479995,"JHOS-2","urogenital_system","ovary",5.46543141,1,0
"707",1480358,"JHOS-3","urogenital_system","ovary",6.58326156,0,1
"708",1480359,"JHOS-4","urogenital_system","ovary",6.27399592,0,1
"709",1480360,"OV-7","urogenital_system","ovary",4.94424348,1,0
"710",1480361,"OV-17R","urogenital_system","ovary",6.29921223,0,1
"711",1480362,"OV-56","urogenital_system","ovary",5.83713635,0,0
"712",1480364,"OVCA420","urogenital_system","ovary",4.78746339,1,0
"713",1480371,"OVK-18","urogenital_system","ovary",5.7874799,0,0
"714",1480372,"PEO1","urogenital_system","ovary",6.03102829,0,1
"715",1480374,"UWB1.289","urogenital_system","ovary",6.94809965,0,1
"716",1503361,"FLO-1","aero_dig_tract","oesophagus",6.52216831,0,1
"717",1503362,"OACp4C","aero_dig_tract","oesophagus",5.53432588,1,0
"718",1503363,"OACM5-1","aero_dig_tract","oesophagus",5.98410306,0,0
"719",1503364,"SK-GT-2","digestive_system","stomach",5.92000142,0,0
"720",1503365,"SK-GT-4","aero_dig_tract","oesophagus",5.67652511,0,0
"721",1503366,"ESO26","aero_dig_tract","oesophagus",5.7160698,0,0
"722",1503367,"ESO51","aero_dig_tract","oesophagus",6.20607,0,1
"723",1503368,"KYAE-1","aero_dig_tract","oesophagus",5.33705327,1,0
"724",1503369,"EMC-BAC-1","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.13242972,0,1
"725",1503370,"EMC-BAC-2","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.69575304,0,0
"726",1503371,"TE-4","aero_dig_tract","oesophagus",5.12662495,1,0
"727",1509073,"NCC010","kidney","kidney",5.99320601,0,0
"728",1509074,"NCC021","kidney","kidney",6.3554803,0,1
"729",1524414,"RCC-FG2","kidney","kidney",6.1938868,0,1
"730",1524415,"RCC-JF","kidney","kidney",4.63853126,1,0
"731",1524416,"RCC-JW","kidney","kidney",5.87313002,0,0
"732",1524417,"RCC-ER","kidney","kidney",6.25824372,0,1
"733",1524418,"RCC-AB","kidney","kidney",6.40866821,0,1
"734",1524419,"RCC-MF","kidney","kidney",5.46653973,1,0
"735",1659823,"SNU-1040","large_intestine","large_intestine",6.32779085,0,1
"736",1660034,"SNU-407","large_intestine","large_intestine",5.8952107,0,0
"737",1660035,"SNU-61","large_intestine","large_intestine",6.42276998,0,1
"738",1660036,"SNU-81","large_intestine","large_intestine",5.80467876,0,0
"739",1674021,"SNU-C5","large_intestine","large_intestine",6.15164142,0,1
