"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"438","OSRC2","kidney",14.754,0,1
"439","OUMS23","large_intestine",14.597,0,1
"440","OV56","ovary",13.232,0,0
"441","OV7","ovary",13.02,0,0
"442","OV90","ovary",12.771,0,0
"443","OVCAR4","ovary",14.914,0,1
"444","OVCAR8","ovary",14.105,0,0
"445","OVISE","ovary",14.105,0,0
"446","OVK18","ovary",11.588,1,0
"447","OVSAHO","ovary",13.831,0,0
"448","OVTOKO","ovary",13.829,0,0
"449","PANC0203","pancreas",14.964,0,1
"450","PANC0327","pancreas",12.15,0,0
"451","PANC0403","pancreas",14.632,0,1
"452","PANC0504","pancreas",13.664,0,0
"453","PANC0813","pancreas",14.298,0,1
"454","PANC1005","pancreas",13.525,0,0
"455","PATU8902","pancreas",14.216,0,1
"456","PATU8988S","pancreas",14.13,0,1
"457","PATU8988T","pancreas",14.021,0,0
"458","PC14","lung",13.5,0,0
"459","PC3","prostate",14.564,0,1
"460","PECAPJ15","upper_aerodigestive_tract",10.837,1,0
"461","PECAPJ34CLONEC12","upper_aerodigestive_tract",12.604,0,0
"462","PECAPJ41CLONED2","upper_aerodigestive_tract",12.328,0,0
"463","PECAPJ49","upper_aerodigestive_tract",11.791,0,0
"464","PK1","pancreas",13.43,0,0
"465","PK45H","pancreas",13.875,0,0
"466","PK59","pancreas",13.116,0,0
"467","PLCPRF5","liver",11.802,0,0
"468","PSN1","pancreas",12.278,0,0
"469","QGP1","pancreas",13.24,0,0
"470","RCC10RGB","kidney",14.585,0,1
"471","RCM1","large_intestine",14.371,0,1
"472","RD","soft_tissue",13.241,0,0
"473","RDES","bone",8.8771,1,0
"474","RERFLCAD1","lung",15.87,0,1
"475","RERFLCAD2","lung",14.395,0,1
"476","RERFLCAI","lung",12.278,0,0
"477","RERFLCMS","lung",11.461,1,0
"478","RH18","soft_tissue",11.881,0,0
"479","RH30","soft_tissue",12.07,0,0
"480","RH41","soft_tissue",11.271,1,0
"481","RKN","soft_tissue",13.409,0,0
"482","RKO","large_intestine",12.641,0,0
"483","RL952","endometrium",11.51,1,0
"484","RMGI","ovary",13.327,0,0
"485","RPMI7951","skin",11.768,1,0
"486","RT112","urinary_tract",13.42,0,0
"487","RT4","urinary_tract",12.962,0,0
"488","RVH421","skin",13.096,0,0
"489","SAOS2","bone",12.048,0,0
"490","SBC5","lung",11.087,1,0
"491","SCABER","urinary_tract",12.103,0,0
"492","SCC25","upper_aerodigestive_tract",12.63,0,0
"493","SCC4","upper_aerodigestive_tract",13.633,0,0
"494","SCC9","upper_aerodigestive_tract",13.031,0,0
"495","SF126","central_nervous_system",12.328,0,0
"496","SF295","central_nervous_system",12.755,0,0
"497","SH10TC","stomach",14.683,0,1
"498","SH4","skin",14.269,0,1
"499","SHP77","lung",14.344,0,1
"500","SIMA","autonomic_ganglia",10.835,1,0
"501","SJSA1","bone",12.997,0,0
"502","SKBR3","breast",8.7784,1,0
"503","SKCO1","large_intestine",11.675,1,0
"504","SKES1","bone",8.8572,1,0
"505","SKHEP1","liver",14.075,0,0
"506","SKLMS1","soft_tissue",13.227,0,0
"507","SKLU1","lung",12.197,0,0
"508","SKMEL1","skin",13.085,0,0
"509","SKMEL24","skin",12.704,0,0
"510","SKMEL28","skin",14.317,0,1
"511","SKMEL3","skin",13.862,0,0
"512","SKMEL30","skin",14.262,0,1
"513","SKMEL31","skin",14.388,0,1
"514","SKMEL5","skin",13.87,0,0
"515","SKMES1","lung",11.994,0,0
"516","SKNAS","autonomic_ganglia",12.886,0,0
