"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"637","WM115","skin",14.357,0,0
"638","WM1799","skin",14.776,0,0
"639","WM2664","skin",14.861,0,0
"640","WM793","skin",14.561,0,0
"641","WM88","skin",14.08,1,0
"642","WM983B","skin",15.369,0,1
"643","YAPC","pancreas",14.606,0,0
"644","YD10B","upper_aerodigestive_tract",16.635,0,1
"645","YD15","salivary_gland",14.968,0,0
"646","YD38","upper_aerodigestive_tract",15,0,0
"647","YD8","upper_aerodigestive_tract",14.464,0,0
"648","YH13","central_nervous_system",14.979,0,0
"649","YKG1","central_nervous_system",15.272,0,1
"650","ZR7530","breast",15.446,0,1
