"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"630","TUHR14TKB","kidney",11.186,0,1
"631","TUHR4TKB","kidney",9.0167,0,0
"632","TYKNU","ovary",8.0351,0,0
"633","U118MG","central_nervous_system",9.632,0,0
"634","U251MG","central_nervous_system",8.7343,0,0
"635","U2OS","bone",5.6861,1,0
"636","U87MG","central_nervous_system",10.928,0,1
"637","UACC257","skin",8.7646,0,0
"638","UACC62","skin",7.894,0,0
"639","UBLC1","urinary_tract",7.9145,0,0
"640","UMUC3","urinary_tract",8.996,0,0
"641","VCAP","prostate",6.7764,1,0
"642","VMCUB1","urinary_tract",8.0123,0,0
"643","VMRCLCD","lung",9.1936,0,0
"644","VMRCRCW","kidney",11.821,0,1
"645","VMRCRCZ","kidney",11.785,0,1
"646","WM115","skin",6.5065,1,0
"647","WM1799","skin",7.9814,0,0
"648","WM2664","skin",6.6961,1,0
"649","WM793","skin",6.8758,0,0
"650","WM88","skin",6.9907,0,0
"651","WM983B","skin",9.6072,0,0
"652","YAPC","pancreas",9.0928,0,0
"653","YD10B","upper_aerodigestive_tract",6.8968,0,0
"654","YD15","salivary_gland",5.8637,1,0
"655","YD38","upper_aerodigestive_tract",7.5584,0,0
"656","YD8","upper_aerodigestive_tract",8.1078,0,0
"657","YH13","central_nervous_system",8.165,0,0
"658","YKG1","central_nervous_system",8.7767,0,0
"659","ZR751","breast",8.3704,0,0
"660","ZR7530","breast",9.5924,0,0
