"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"406",909755,"SW837","large_intestine","large_intestine",-2.23047986,1
"407",909756,"SW872","soft_tissue","soft_tissue_other",-2.03798873,1
"408",909757,"SW948","large_intestine","large_intestine",2.78903583,1
"409",909758,"SW962","urogenital_system","urogenital_system_other",-2.91788179,1
"410",909759,"SW982","soft_tissue","soft_tissue_other",-4.96481489,0
"411",909761,"T84","large_intestine","large_intestine",-2.85662184,1
"412",909769,"TGBC1TKB","digestive_system","biliary_tract",-0.05954658,1
"413",909770,"TGBC11TKB","digestive_system","stomach",0.72449808,1
"414",909774,"TYK-nu","urogenital_system","ovary",-0.41540469,1
"415",909776,"U-2-OS","bone","osteosarcoma",1.46000602,1
"416",909778,"UACC-893","breast","breast",-0.37439048,1
"417",909779,"UMC-11","lung_NSCLC","lung_NSCLC_carcinoid",-0.8763126,1
"418",909780,"VM-CUB-1","urogenital_system","Bladder",-2.44306888,1
"419",909781,"VMRC-RCZ","kidney","kidney",-2.81400914,1
"420",909784,"WM-115","skin","melanoma",2.87920154,1
"421",909904,"YAPC","pancreas","pancreas",1.09649534,1
"422",909974,"RCC10RGB","kidney","kidney",3.21682154,1
"423",909975,"KURAMOCHI","urogenital_system","ovary",-2.26188017,1
"424",909977,"HuO-3N1","bone","osteosarcoma",0.17775459,1
"425",910079,"OE19","aero_dig_tract","oesophagus",-2.29990546,1
"426",910399,"NCI-H838","lung_NSCLC","lung_NSCLC_adenocarcinoma",-1.08337479,1
"427",910546,"PSN1","pancreas","pancreas",-4.22722066,0
"428",910548,"OAW-42","urogenital_system","ovary",-1.95786919,1
"429",910549,"OE33","aero_dig_tract","oesophagus",-0.87855195,1
"430",910554,"CW-2","large_intestine","large_intestine",3.08484794,1
"431",910567,"CHP-126","neuroblastoma","neuroblastoma",-2.68788555,1
"432",910568,"CGTH-W-1","thyroid","thyroid",-2.70989242,1
"433",910569,"COLO-320-HSR","large_intestine","large_intestine",-0.729197,1
"434",910689,"COLO-678","large_intestine","large_intestine",-0.64484609,1
"435",910691,"COLO-684","urogenital_system","endometrium",-1.4005001,1
"436",910692,"COLO-668","lung_SCLC","lung_small_cell_carcinoma",-2.38771624,1
"437",910694,"LN-405","nervous_system","glioma",0.51864299,1
"438",910695,"TGBC24TKB","digestive_system","biliary_tract",-0.037707,1
"439",910697,"A388","skin","skin_other",-3.4559375,1
"440",910698,"BFTC-909","kidney","kidney",-2.25355069,1
"441",910700,"C2BBe1","large_intestine","large_intestine",-0.41275825,1
"442",910701,"SCC-25","aero_dig_tract","head and neck",-1.89814399,1
