"","Cell.line.name","Tissue","area_under_curve","most_sensitive","least_sensitive"
"1","5637","urinary_tract",5.9681,1,0
"2","2313287","stomach",6.6801,1,0
"3","22RV1","prostate",6.001,1,0
"4","253J","urinary_tract",7.5252,1,0
"5","253JBV","urinary_tract",8.926,0,0
"6","42MGBA","central_nervous_system",8.5321,0,0
"7","639V","urinary_tract",8.3275,0,0
"8","647V","urinary_tract",5.9029,1,0
"9","769P","kidney",8.837,0,0
"10","786O","kidney",10.846,0,1
"11","8305C","thyroid",7.8769,0,0
"12","8505C","thyroid",6.7874,1,0
"13","8MGBA","central_nervous_system",8.7449,0,0
"14","A101D","skin",7.9064,0,0
"15","A172","central_nervous_system",8.2995,0,0
"16","A204","soft_tissue",5.6226,1,0
"17","A2058","skin",7.413,1,0
"18","A2780","ovary",3.544,1,0
"19","A375","skin",7.235,1,0
"20","A375","skin",7.6949,0,0
"21","A549","lung",9.2968,0,0
"22","A549","lung",8.6209,0,0
"23","A549","lung",9.4522,0,1
"24","A673","bone",4.1947,1,0
"25","ACCMESO1","pleura",9.4165,0,1
"26","ACHN","kidney",10.583,0,1
"27","AGS","stomach",7.4972,1,0
"28","AM38","central_nervous_system",5.9201,1,0
"29","AN3CA","endometrium",9.4136,0,1
"30","ASPC1","pancreas",11.19,0,1
"31","ASPC1","pancreas",10.794,0,1
"32","AU565","breast",7.2698,1,0
"33","BC3C","urinary_tract",10.441,0,1
"34","BCPAP","thyroid",8.1546,0,0
"35","BECKER","central_nervous_system",10.864,0,1
"36","BEN","lung",12.655,0,1
"37","BFTC905","urinary_tract",7.8794,0,0
"38","BFTC909","kidney",8.0309,0,0
"39","BHT101","thyroid",6.9524,1,0
"40","BHY","upper_aerodigestive_tract",7.274,1,0
"41","BICR16","upper_aerodigestive_tract",8.7452,0,0
"42","BICR18","upper_aerodigestive_tract",7.9414,0,0
"43","BICR22","upper_aerodigestive_tract",6.3922,1,0
"44","BICR31","upper_aerodigestive_tract",8.1777,0,0
"45","BICR56","upper_aerodigestive_tract",9.4644,0,1
"46","BICR6","upper_aerodigestive_tract",7.6,1,0
"47","BT20","breast",9.5772,0,1
"48","BT474","breast",9.4849,0,1
"49","BT549","breast",8.3907,0,0
"50","BXPC3","pancreas",8.142,0,0
"51","C2BBE1","large_intestine",10.068,0,1
"52","CAKI1","kidney",12.883,0,1
"53","CAKI2","kidney",12.303,0,1
"54","CAL12T","lung",8.8613,0,0
"55","CAL148","breast",4.8796,1,0
"56","CAL27","upper_aerodigestive_tract",5.5017,1,0
