"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","most_sensitive","least_sensitive"
"667",1503370,"EMC-BAC-2","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.17574754,0,0
"668",1503371,"TE-4","aero_dig_tract","oesophagus",3.13332381,0,0
"669",1509073,"NCC010","kidney","kidney",2.93526527,0,0
"670",1509074,"NCC021","kidney","kidney",4.01124092,0,1
"671",1524414,"RCC-FG2","kidney","kidney",1.39425247,1,0
"672",1524415,"RCC-JF","kidney","kidney",-0.27303838,1,0
"673",1524416,"RCC-JW","kidney","kidney",-0.43123565,1,0
"674",1524417,"RCC-ER","kidney","kidney",2.23882946,0,0
"675",1524418,"RCC-AB","kidney","kidney",4.23777285,0,1
"676",1524419,"RCC-MF","kidney","kidney",-0.97912484,1,0
"677",1660034,"SNU-407","large_intestine","large_intestine",2.92955928,0,0
"678",1660035,"SNU-61","large_intestine","large_intestine",3.92745509,0,0
"679",1660036,"SNU-81","large_intestine","large_intestine",4.22835955,0,1
"680",1674021,"SNU-C5","large_intestine","large_intestine",2.72107393,0,0
